value,n_samples,b_user,win_exact,util_exact,win_mc,util_mc,b_opt_exact,util_opt_exact,b_opt_mc,util_opt_mc,regret_exact,regret_mc
10,22,9,0.6363636363636364,0.6363636363636364,0.63495,0.63495,5.1000000000000005,2.227272727272727,5.1000000000000005,2.2025499999999996,1.5909090909090908,1.5675999999999997
20,22,19,0.8863636363636364,0.8863636363636364,0.8858,0.8858,11.100000000000001,5.663636363636362,11.100000000000001,5.722700000000001,4.777272727272726,4.836900000000001
30,22,29,0.9090909090909091,0.9090909090909091,0.908775,0.908775,21.1,6.068181818181817,21.200000000000003,6.063199999999998,5.159090909090907,5.154424999999998
40,22,39,0.9090909090909091,0.9090909090909091,0.908775,0.908775,21.1,8.59090909090909,21.200000000000003,8.713799999999999,7.681818181818181,7.805024999999999
50,22,49,0.9090909090909091,0.9090909090909091,0.908775,0.908775,26.1,10.863636363636363,26.1,11.0418,9.954545454545455,10.133025
60,22,59,0.9090909090909091,0.9090909090909091,0.908775,0.908775,31.1,14.45,31.200000000000003,14.5584,13.540909090909091,13.649625
70,22,69,0.9090909090909091,0.9090909090909091,0.908775,0.908775,36.1,16.95,36.1,17.314424999999996,16.04090909090909,16.405649999999998
80,22,79,0.9090909090909091,0.9090909090909091,0.908775,0.908775,41.1,19.45,41.5,19.42325,18.54090909090909,18.514475
90,22,89,0.9090909090909091,0.9090909090909091,0.908775,0.908775,46.1,21.95,46.300000000000004,22.243299999999998,21.04090909090909,21.334525
100,22,99,0.9090909090909091,0.9090909090909091,0.908775,0.908775,51.1,24.45,51.1,25.195725,23.54090909090909,24.28695
