value,optcase_my_bid,opt_bid,optcase_EU_exact,optcase_opt_EU,optcase_regret,koshi_my_bid,koshi_EU_exact,koshi_opt_EU,koshi_regret,ben_my_bid,ben_EU_exact,ben_opt_EU,ben_regret
10,2,5,0.291,0.334,0.043,9,0.091,0.334,0.243,9,0.091,0.334,0.243
20,12,11,1.564,1.74,0.176,19,0.252,1.74,1.487,15,1.08,1.74,0.66
30,11,11,3.498,3.694,0.196,29,0.418,3.694,3.276,20,2.909,3.694,0.785
40,21,21,6.391,6.529,0.138,39,0.577,6.529,5.952,25,5.625,6.529,0.904
50,21,21,9.755,9.984,0.229,49,0.716,9.984,9.268,30,9.091,9.984,0.893
60,31,31,14.5,14.713,0.213,59,0.805,14.713,13.908,30,13.636,14.713,1.076
70,31,31,19.5,19.804,0.304,69,0.855,19.804,18.949,35,18.614,19.804,1.19
80,41,41,25.173,25.462,0.289,79,0.905,25.462,24.557,40,24.273,25.462,1.189
90,41,41,31.627,32.007,0.38,89,0.95,32.007,31.057,45,30.477,32.007,1.53
100,51,51,38.309,38.675,0.366,99,0.991,38.675,37.685,50,37.273,38.675,1.403
